subclone_1,subclone_2,total_tumor,days
813.1313594889801,76.44428385650941,889.5756433454895,522
818.1298712485195,76.90451635642599,895.0343876049456,523
823.1699674449196,77.36837358987529,900.5383410347949,524
828.2518990317109,77.83587675575944,906.0877757874703,525
833.3759183150039,78.30704715651407,911.682965471518,526
838.5422789534894,78.78190619810833,917.3241851515977,527
843.7512359584377,79.26047539004485,923.0117113484825,528
849.0030456936995,79.7427763453598,928.7458220390592,529
854.2979658757051,80.22883078062284,934.526796656328,530
859.6362555734651,80.71866051593719,940.3549160894022,531
865.0181752085696,81.21228747493952,946.2304626835091,532
870.4439865551891,81.70973368480003,952.1537202399891,533
875.9139527400739,82.21102127622244,958.1249740162964,534
