subclone_1,subclone_2,subclone_3,total_tumor,days
380294.4696226992,0.04309471145365418,8192.295584034273,388486.8083014449,242
383382.3448634542,0.04230412711274263,8062.346179833772,391444.73334741505,243
386494.3269241839,0.04153561752241768,7934.622673186868,394428.9911329883,244
389630.58721501805,0.040788676947754454,7809.100006856584,397439.7280105516,245
392791.2986085899,0.040065631662449495,7685.822623412703,400477.1612976343,246
395976.63461654895,0.039366491781935624,7564.7881461918605,403541.4621292326,247
399186.76946996537,0.03868994640007742,7445.962855569897,406632.7710154817,248
402421.8783427396,0.038034733110472806,7329.3133740797175,409751.2297515524,249
405682.1373516022,0.03739963800645311,7214.806666411287,412896.98141765146,250
408967.7235561138,0.036783495681083044,7102.410039411634,416070.1703790211,251
412278.814958665,0.0361851892271607,6992.091142084849,419270.94228593906,252
415615.5905044767,0.03560365023721754,6883.817965592085,422499.44407371903,253
418978.23008159973,0.035037858803518424,6777.558843251557,425755.8239627101,254
422366.91452091513,0.03448684351806158,6673.282450538543,429040.2314582972,255
425781.82559613406,0.03394968147257864,6570.957805085383,432352.81735090096,256
429223.14602379757,0.033425498258534594,6470.55426668148,435693.7337159773,257
432691.05946327705,0.032913467967127824,6372.041537273297,439063.1339140183,258
436185.7505167739,0.032412813189290096,6275.38966096436,442461.17259055143,259
