subclone_1,subclone_2,subclone_3,subclone_4,total_tumor,days
25478.9805579837,7678.483555666093,0.052253003085816305,0.3905216204080942,33157.90688827329,165
25666.860988606702,7504.810786677531,0.049786492853941426,0.3745521421790191,33172.096113919266,166
25856.126515618234,7334.815100721043,0.04746116246751825,0.35936106000267876,33191.34843856174,167
26046.78725478436,7168.47680793199,0.04526745053756079,0.3449039694319066,33215.65423413632,168
26238.853394082085,7005.7714103302715,0.043196467826400554,0.3311391744496994,33244.999140054635,169
26432.335193699357,6846.669601820318,0.041239997247686545,0.31802768746921717,33279.3640632044,170
26627.242986035064,6691.137268191105,0.03939049386638525,0.3055332293337825,33318.725177949374,171
26823.58717569905,6539.135487116138,0.03764108489878072,0.293622229316882,33363.053926129396,172
27021.378239549922,6390.62054319369,0.0359855693792095,0.2822638227016458,33412.317032135696,173
27220.62674673626,6245.553001129417,0.03441823962260634,0.27142853048961346,33466.485594635786,174
27421.34333238475,6103.890313360478,0.03293397434032322,0.26108944552768815,33525.527669165094,175
27623.53869271309,5965.5819144622255,0.031528067177433075,0.2512220016849111,33589.40335724418,176
27827.22360556221,5830.576472600695,0.030196018442926627,0.24180260652472033,33658.072076787874,177
28032.40893039629,5698.821889532613,0.028933535109712385,0.23280864130495055,33731.49256210532,178
28239.105608302743,5570.26530060539,0.02773653081461664,0.22421846097783338,33809.622863899924,179
28447.324661992232,5444.853074757126,0.026601125858383486,0.21601139418999712,33892.42034926941,180
28657.077195798654,5322.530814516606,0.025523647205674793,0.20816774328246687,33979.84170170575,181
28868.37439567916,5203.243356003305,0.024500628485070224,0.2006687842906646,34071.84292109523,182
29081.22752921412,5086.934768927381,0.02352880998906724,0.19349676694440893,34168.37932371843,183
29295.647945607176,4973.548356589682,0.022605138674081073,0.18663491466791535,34269.40554225019,184
29511.647075685185,4863.026655881743,0.02172676816044477,0.18006742457979613,34374.87552575967,185
29729.236431898265,4755.311437285784,0.020891058732409137,0.17377946749306022,34484.74253971027,186
29948.427608319762,4650.3437048747155,0.020095577338142788,0.16775718791511357,34598.95916595973,187
30169.232280646273,4548.06369631213,0.01933809758973212,0.1619877040477587,34717.477302760046,188
30391.662207401594,4448.4111334368745,0.01861659102597826,0.15645907209677093,34840.24841650159,189
