subclone_1,subclone_2,subclone_3,subclone_4,subclone_5,total_tumor,days
1205.5288051311065,33880.785544739,23242.501673883744,0.0,8561.236016697261,66890.05204045112,183
1209.5860182150932,33845.727761416376,22864.290443984493,0.0,8513.661598660423,66433.26582227639,184
1213.6570733848841,33809.233354748634,22490.08402869682,0.0,8465.988400627368,65978.96285745771,185
1217.7420174826816,33771.29868387534,22119.995598556983,0.0,8418.22534463466,65527.26164454967,186
1221.840897445255,33731.92035368259,21754.133950229498,0.0,8370.381361677819,65078.276563035164,187
1225.9537603039416,33691.09521480299,21392.603506507094,0.0,8322.465391711321,64632.11787332535,188
1230.0806531846458,33648.82036361568,21035.504316310733,0.0,8274.4863836486,64188.89171675967,189
1234.22162330784,33605.093142246355,20682.9320546896,0.0,8226.453295362044,63748.70011560585,190
1238.3767179885638,33559.91113856722,20334.978022821135,0.0,8178.375093683,63311.640973059926,191
1242.5459846364238,33513.27218619701,19991.729148010963,0.0,8130.260754401774,62877.808073246175,192
1246.7294707555952,33465.174364501,19653.26798369299,0.0,8082.119262267623,62447.291081217205,193
1250.9272239448196,33415.615998591,19319.672709429306,0.0,8033.959610988766,62020.17554295389,194
1255.1392918974066,33364.59565932533,18991.01713091026,0.0,7985.790803232375,61596.54288536537,195
1259.3657224012331,33312.11216330886,18667.370679954423,0.0,7937.621850624583,61176.47041628911,196
1263.606563338744,33258.164572892994,18348.79841450859,0.0,7889.461773750475,60760.0313244908,197
1267.861862686951,33202.75219617565,18035.361018647793,0.0,7841.319602154097,60347.29467966448,198
1272.1316685174338,33145.874587001286,17727.114802575285,0.0,7793.204374338449,59938.32543243245,199
1276.4160290519735,33087.53132102708,17424.113470879416,0.0,7745.125024069571,59533.18584502805,200
1280.7149945256351,33027.71559184951,17126.434832781662,0.0,7697.086272406784,59131.9516915636,201
1285.02861435735,32966.42772726668,16834.03465371338,0.0,7649.093911716947,58734.584907054355,202
1289.356937189008,32903.672785578725,16546.823989095494,0.0,7601.155458619272,58341.0091704825,203
1293.7000118597546,32839.45615977393,16264.715162812343,0.0,7553.278304606623,57951.14963905265,204
1298.0578874059916,32773.78357752872,15987.621767211669,0.0,7505.4697160455235,57564.932948191905,205
1302.4306130613754,32706.661101207632,15715.45866310463,0.0,7457.73683417615,57182.28721154979,206
1306.818238256819,32638.095127863362,15448.141979765789,0.0,7410.086675112337,56803.142020998304,207
1311.220812620491,32568.09238923673,15185.589114933124,0.0,7362.5261298415735,56427.428446631915,208
1315.638385977815,32496.659951756686,14927.718734808017,0.0,7315.061964225007,56055.07903676753,209
1320.0710083514707,32423.80521654033,14674.450774055264,0.0,7267.700818997436,55686.0278179445,210
1324.5187299613938,32349.535919392885,14425.70643580307,0.0,7220.449209767319,55320.21029492467,211
1328.981601224775,32273.860130807712,14181.40819164305,0.0,7173.31352701677,54957.56345069231,212
1333.459672756061,32196.78625596631,13941.479781630229,0.0,7126.300036101557,54598.025746454165,213
1337.9529953669546,32118.32303473831,13705.84621428304,0.0,7079.414877251106,54241.537121639405,214
1342.4616200664132,32038.47954168148,13474.433766583326,0.0,7032.664065568497,53888.03899389972,215
1346.985598060651,31957.26518604172,13247.169983976346,0.0,6986.053491030467,53537.47425910918,216
1351.5249807531372,31874.68971175307,13023.983680370759,0.0,6939.588918487409,53189.78729136438,217
1356.079819744597,31790.7631974377,12804.804938138637,0.0,6893.275987663372,52844.92394298431,218
1360.6501668330109,31705.49605640592,12589.565108115472,0.0,6847.120213156058,52502.83154451046,219
1365.2360740136155,31618.899036656167,12378.196809600151,0.0,6801.12698443683,52163.458904706764,220
1369.8375934789028,31530.983220875027,12170.63393035498,0.0,6755.301565850704,51826.75631055962,221
1374.4547776186205,31441.760026437205,11966.81162660567,0.0,6709.649096616351,51492.67552727784,222
1379.0876790197722,31351.241205405553,11766.666323041343,0.0,6664.174590826099,51161.169798292765,223
1383.7363504666168,31259.43884453105,11570.13571281454,0.0,6618.882937445933,50832.19384525814,224
1388.400844940669,31166.365365252823,11377.158757541192,0.0,6573.778900315492,50505.70386805017,225
1393.0812156206996,31072.033523698115,11187.675687300663,0.0,6528.867118148073,50181.65754476756,226
1397.7775158827344,30976.456410682316,11001.628000635706,0.0,6484.152104530627,49860.014031731385,227
1402.4897993000552,30879.647451708955,10818.9584645525,0.0,6439.63824792376,49540.73396348527,228
